Symbol	Description
LAB	Labrador Gold Corp
LAD	New Carolin Gold Corp
LAT	Latin American Minerals Inc
LBC	Libero Copper & Gold Corp
LBI	Lions Bay Capital Inc
LBL	Lattice Biologics Ltd
LCC.P	Lamaska Capital Corp
LDI	Lithoquest Diamonds Inc
LEAF	Leaf Mobile Inc
LEM	Leading Edge Materials Corp
LEXI	Lithium Energi Exploration Inc
LHR	Lakeview Hotel Invest Corp
LHR.DB.C	Lakeview Hotel Invest Corp Ser C Debs
LI	American Lithium Corp
LIFT	Lift & Co. Corp
LIO	Lion One Metals Limited
LIT	Argentina Lithium and Energy Corp
LITH	Lithium Chile Inc
LITT	Roadman Investments Corp
LKY	Lucky Minerals Inc
LL	Canada Rare Earth Corp
LLG	Mason Graphite Inc
LLO.P	Ll One Inc
LM	Lingo Media Corp
LME	Laurion Mineral Exploration Inc
LMG	Lincoln Gold Mining Inc
LMR	Lomiko Metals Inc
LMS	Latin Metals Inc
LOG.P	Logica Ventures Corp
LOOP	Loopshare Ltd
LPC	Lorne Park Capital Partners Inc
LPK	Lupaka Gold Corp
LPS	Legend Power Systems Inc
LR	Luminex Resources Corp
LRA	Lara Exploration Ltd
LRC.H	Lovitt Resources Inc
LRT.DB.G	Lanesborough REIT 5.0 Pct Ser G Debs
LRT.UN	Lanesborough R.E. Investment Trust
LSD.H	Lightspeed Discoveries Inc
LSX	Lasalle Exploration Corp
LSX.WT	Lasalle Exploration Corp Wts
